Date,Location,Distributed
2022-01-02,MN,-1000
2022-01-03,MN,-3700
2022-01-04,MN,0
2022-01-07,MN,0
2022-01-09,MN,700
2022-01-10,MN,270
2022-01-11,MN,9370
2022-01-12,MN,39400
2022-01-13,MN,30070
2022-01-14,MN,31480
2022-01-15,MN,25600
2022-01-16,MN,500
2022-01-17,MN,0
2022-01-18,MN,5900
2022-01-19,MN,35600
2022-01-20,MN,21540
2022-01-21,MN,30410
2022-01-22,MN,45370
2022-01-23,MN,300
2022-01-24,MN,0
2022-01-25,MN,9000
2022-01-26,MN,20900
2022-01-27,MN,18700
2022-01-28,MN,21100
2022-01-29,MN,27200
2022-01-30,MN,600
2022-01-31,MN,0
2022-02-01,MN,4900
2022-02-02,MN,15300
2022-02-03,MN,21000
2022-02-04,MN,10800
2022-02-05,MN,1100
2022-02-06,MN,3700
2022-02-07,MN,0
2022-02-08,MN,26700
2022-02-09,MN,30300
2022-02-10,MN,15800
2022-02-11,MN,13700
2022-02-12,MN,12800
2022-02-13,MN,1300
2022-02-14,MN,0
2022-02-15,MN,14700
2022-02-16,MN,6200
2022-02-17,MN,86000
2022-02-18,MN,13500
2022-02-19,MN,17500
2022-02-20,MN,100
2022-02-21,MN,0
2022-02-22,MN,4900
2022-02-23,MN,9700
2022-02-24,MN,18700
2022-02-25,MN,16400
2022-02-26,MN,8200
2022-02-27,MN,1000
2022-02-28,MN,8700
2022-03-01,MN,4400
2022-03-02,MN,5300
2022-03-03,MN,9700
2022-03-04,MN,12100
2022-03-05,MN,7700
2022-03-06,MN,0
2022-03-07,MN,0
2022-03-08,MN,5800
2022-03-09,MN,4600
2022-03-10,MN,8200
2022-03-11,MN,5100
2022-03-12,MN,0
2022-03-13,MN,0
2022-03-14,MN,7000
2022-03-15,MN,4860
2022-03-16,MN,7300
2022-03-17,MN,6800
2022-03-18,MN,9500
2022-03-19,MN,0
2022-03-20,MN,0
2022-03-21,MN,0
2022-03-22,MN,0
2022-03-23,MN,19400
2022-03-24,MN,9400
2022-03-25,MN,4600
2022-03-26,MN,10000
2022-03-27,MN,0
2022-03-28,MN,0
2022-03-29,MN,9800
2022-03-30,MN,6700
2022-03-31,MN,13000
2022-04-01,MN,0
2022-04-02,MN,56200
2022-04-03,MN,300
2022-04-04,MN,0
2022-04-05,MN,21100
2022-04-06,MN,20500
2022-04-07,MN,21200
2022-04-08,MN,31800
2022-04-09,MN,0
2022-04-10,MN,34600
2022-04-11,MN,0
2022-04-12,MN,8500
2022-04-13,MN,19500
2022-04-14,MN,21300
2022-04-15,MN,32700
2022-04-16,MN,50600
2022-04-17,MN,0
2022-04-18,MN,0
2022-04-19,MN,8300
2022-04-20,MN,51900
2022-04-21,MN,15200
2022-04-22,MN,32600
2022-04-23,MN,27100
2022-04-24,MN,0
2022-04-25,MN,0
2022-04-26,MN,16900
2022-04-27,MN,14700
2022-04-28,MN,16100
2022-04-29,MN,34300
2022-04-30,MN,16700
2022-05-01,MN,0
2022-05-02,MN,0
2022-05-03,MN,10900
2022-05-04,MN,15100
2022-05-05,MN,23000
2022-05-06,MN,33200
2022-05-07,MN,21600
2022-05-08,MN,0
2022-05-09,MN,0
2022-05-10,MN,11800
2022-05-11,MN,6900
2022-05-12,MN,26200
2022-05-13,MN,16200
2022-05-14,MN,34400
